162	960	381	388	645
460	873	529	251	858
874	476	315	812	203
342	678	332	573	44
905	550	249	27	742
285	524	131	941	714
688	818	976	948	836
162	144	947	140	679
853	831	155	412	90
238	480	974	906	555
614	4	765	300	204
874	124	424	770	794
470	935	689	143	203
218	664	368	281	258
335	703	585	181	120
16	605	592	400	176
933	512	261	48	692
248	528	584	207	446
975	126	770	968	970
409	487	938	777	284
79	945	290	247	103
256	285	916	38	89
496	216	385	578	731
548	678	29	581	475
835	93	387	48	136
278	271	412	441	747
532	128	732	717	838
423	369	980	636	533
13	854	33	488	760
458	266	243	864	158
102	98	780	555	88
726	354	743	101	887
181	476	428	256	409
255	174	69	38	282
826	975	760	432	908
303	172	923	40	829
40	100	884	991	797
931	569	492	776	131
952	777	972	578	636
39	466	258	36	665
796	334	447	945	548
650	404	176	108	564
755	719	751	807	804
344	910	991	562	740
850	194	577	651	510
473	652	638	448	665
297	646	546	279	612
72	938	874	852	572
366	764	75	481	863
677	265	683	201	38
380	873	206	336	632
761	109	920	704	990
86	970	431	690	577
904	668	881	889	29
51	554	235	632	119
932	560	859	489	354
635	795	976	853	696
685	180	889	240	126
759	685	900	469	541
981	711	170	575	851
604	874	695	964	682
759	206	842	270	789
910	932	553	487	438
597	896	774	578	405
223	878	56	445	402
518	435	116	467	970
980	530	641	13	192
180	997	326	607	238
573	249	777	797	681
480	777	255	93	790
930	564	707	116	764
68	528	759	620	691
822	255	740	824	184
960	300	348	676	475
873	737	932	262	334
836	939	591	68	891
433	567	970	775	955
225	509	144	229	194
607	708	727	884	351
639	244	386	688	215
20	694	86	364	600
325	179	111	942	361
968	845	673	741	103
114	217	145	57	351
278	199	955	315	162
887	356	173	407	3
484	293	442	693	663
962	286	314	215	189
909	12	90	878	235
797	691	80	715	488
131	737	433	225	928
746	370	658	979	444
947	971	877	124	110
131	848	546	388	174
182	124	643	288	953
773	411	597	303	612
968	240	904	34	466
22	345	234	272	609
889	533	713	729	189
664	151	524	616	16
783	262	326	269	371
159	649	244	852	682
610	405	819	749	989
207	902	842	411	121
41	641	508	991	278
715	362	193	817	292
724	40	814	59	231
472	79	530	63	494
285	28	855	35	735
569	226	117	204	764
65	216	314	272	202
16	193	485	864	686
921	188	136	8	962
963	542	960	89	438
685	584	470	332	782
810	192	501	604	959
633	14	303	231	375
93	945	529	800	67
307	242	435	441	498
756	961	333	138	985
143	521	490	377	594
837	98	265	629	209
255	813	802	540	270
163	20	817	884	348
354	85	749	543	467
572	23	269	405	551
798	19	480	496	739
700	809	79	157	356
855	307	508	993	371
900	458	150	843	133
589	314	864	600	927
336	207	844	251	157
261	153	386	784	109
872	36	254	194	869
559	203	729	64	624
416	349	834	915	669
241	270	59	961	519
268	506	797	555	951
640	446	417	270	12
958	455	206	687	759
139	572	446	175	386
8	643	4	222	53
852	536	536	580	49
812	947	777	715	910
82	875	261	309	418
633	722	490	272	372
153	322	178	663	632
86	189	792	474	998
717	318	738	733	957
366	747	982	450	36
477	82	332	916	970
489	638	333	863	459
398	205	362	748	951
393	982	790	994	109
233	834	555	356	658
503	947	522	585	457
574	983	275	417	721
685	3	389	943	176
159	613	227	556	712
599	421	116	350	723
776	356	252	672	64
755	952	169	422	988
456	797	352	453	971
396	472	82	634	34
170	879	143	386	166
307	430	194	978	41
588	973	173	923	485
